1	71	1
2	72	1
3	73	1
4	74	1
5	75	1
6	76	1
7	77	1
8	78	1
9	81	2
10	82	2
11	83	2
12	84	2
13	1	3
14	2	3
15	19	3
16	20	3
17	57	3
18	58	3
19	59	3
20	60	3
21	63	3
22	64	3
23	69	3
24	70	3
25	43	4
26	44	4
27	45	4
28	46	4
29	47	4
30	48	4
31	49	4
32	50	4
33	51	4
34	52	4
35	53	4
36	54	4
37	55	4
38	56	4
39	3	5
40	4	5
41	5	5
42	6	5
43	7	5
44	8	5
45	9	5
46	10	5
47	11	5
48	12	5
49	13	5
50	14	5
51	15	5
52	16	5
53	29	5
54	30	5
55	59	5
56	60	5
57	61	5
58	62	5
59	85	5
60	86	5
61	87	5
62	88	5
63	89	5
64	90	5
65	5	6
66	6	6
67	9	6
68	10	6
69	15	6
70	16	6
71	23	6
72	24	6
73	25	6
74	26	6
75	31	6
76	32	6
77	33	6
78	34	6
79	35	6
80	36	6
81	37	6
82	38	6
83	39	6
84	40	6
85	61	6
86	62	6
87	65	6
88	66	6
89	67	6
90	68	6
91	85	6
92	86	6
93	87	6
94	88	6
95	89	6
96	90	6
